Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1981,1,1,4,3,3,7.0,12.0,7.0,1.0,6.0,3.0,2.0,1.0,4.0,1.0,,,,,,,,,,
1982,1,1,7,13,1,1.0,2.0,5.0,2.0,1.0,1.0,2.0,9.0,31.0,1.0,1.0,2.0,7.0,1.0,2.0,,,,,
1983,2,1,9,3,2,1.0,3.0,4.0,1.0,2.0,2.0,4.0,8.0,7.0,1.0,2.0,,,,,,,,,
1984,7,1,5,12,3,3.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,14.0,1.0,5.0,,,,,,,,
1985,2,4,2,3,1,3.0,6.0,1.0,1.0,1.0,2.0,1.0,16.0,10.0,1.0,1.0,2.0,1.0,1.0,,,,,,
1986,5,1,1,5,15,4.0,14.0,12.0,13.0,4.0,1.0,2.0,1.0,3.0,7.0,,,,,,,,,,
1987,2,2,3,2,27,3.0,1.0,9.0,3.0,5.0,9.0,6.0,2.0,2.0,1.0,5.0,1.0,,,,,,,,
1988,2,15,1,4,4,1.0,12.0,8.0,5.0,1.0,4.0,25.0,7.0,5.0,2.0,3.0,1.0,,,,,,,,
1989,16,4,17,1,1,5.0,5.0,2.0,2.0,3.0,2.0,3.0,6.0,6.0,2.0,1.0,1.0,1.0,,,,,,,
1990,4,14,5,4,4,1.0,16.0,5.0,4.0,3.0,18.0,8.0,3.0,1.0,,,,,,,,,,,
1991,3,11,3,1,1,19.0,7.0,2.0,12.0,1.0,4.0,5.0,1.0,3.0,5.0,3.0,,,,,,,,,
1992,1,16,1,2,1,3.0,1.0,9.0,2.0,1.0,5.0,16.0,1.0,4.0,2.0,2.0,1.0,1.0,,,,,,,
1993,7,2,3,14,6,3.0,1.0,13.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
1994,1,1,4,2,1,5.0,24.0,12.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,
1995,2,1,1,3,2,3.0,13.0,1.0,3.0,2.0,5.0,1.0,4.0,1.0,1.0,8.0,3.0,,,,,,,,
1996,7,1,1,12,1,19.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,2.0,3.0,1.0,7.0,7.0,3.0,2.0,3.0,,,
1997,1,3,1,2,4,1.0,8.0,1.0,8.0,10.0,3.0,13.0,1.0,23.0,3.0,3.0,,,,,,,,,
1998,8,1,29,4,1,14.0,9.0,4.0,2.0,1.0,,,,,,,,,,,,,,,
1999,9,1,3,26,2,4.0,11.0,4.0,7.0,2.0,1.0,2.0,,,,,,,,,,,,,
2000,2,2,3,2,14,5.0,1.0,18.0,1.0,11.0,5.0,2.0,8.0,5.0,12.0,4.0,1.0,7.0,,,,,,,
2001,3,1,1,1,2,1.0,3.0,44.0,6.0,15.0,3.0,1.0,2.0,3.0,1.0,1.0,,,,,,,,,
2002,3,1,4,4,2,2.0,1.0,1.0,32.0,4.0,1.0,19.0,1.0,,,,,,,,,,,,
2003,1,2,2,4,2,3.0,5.0,6.0,6.0,2.0,2.0,1.0,5.0,14.0,8.0,11.0,6.0,1.0,3.0,,,,,,
2004,1,2,1,4,1,1.0,3.0,31.0,11.0,28.0,3.0,2.0,2.0,,,,,,,,,,,,
2005,2,1,2,13,3,18.0,2.0,1.0,2.0,1.0,1.0,1.0,5.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,
2006,1,1,1,6,2,3.0,1.0,3.0,11.0,21.0,6.0,14.0,1.0,1.0,4.0,3.0,5.0,9.0,1.0,3.0,,,,,
2007,5,9,8,1,17,3.0,5.0,16.0,3.0,11.0,2.0,2.0,2.0,11.0,1.0,,,,,,,,,,
2008,1,2,2,4,1,2.0,2.0,1.0,3.0,5.0,1.0,4.0,5.0,1.0,8.0,1.0,7.0,,,,,,,,
2009,3,6,7,3,2,20.0,10.0,5.0,12.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,,,,,,,,,
2010,3,7,4,2,3,1.0,2.0,11.0,1.0,55.0,1.0,3.0,4.0,1.0,,,,,,,,,,,
2011,2,1,1,5,2,12.0,5.0,2.0,1.0,4.0,3.0,16.0,5.0,11.0,1.0,1.0,2.0,2.0,4.0,1.0,4.0,3.0,1.0,,
2012,4,5,6,13,5,4.0,2.0,1.0,16.0,13.0,5.0,12.0,8.0,4.0,1.0,,,,,,,,,,
2013,1,2,2,1,1,47.0,27.0,19.0,3.0,1.0,2.0,3.0,1.0,6.0,2.0,1.0,2.0,,,,,,,,
2014,5,1,3,1,33,2.0,16.0,6.0,1.0,4.0,1.0,2.0,4.0,1.0,,,,,,,,,,,
2015,2,1,1,2,2,15.0,1.0,52.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,,
2016,76,3,6,1,1,,,,,,,,,,,,,,,,,,,,
2017,1,8,14,3,2,1.0,10.0,8.0,4.0,7.0,6.0,12.0,1.0,2.0,6.0,,,,,,,,,,
2018,24,2,22,2,2,24.0,2.0,9.0,6.0,4.0,1.0,2.0,,,,,,,,,,,,,
2019,8,1,1,7,16,6.0,3.0,18.0,6.0,8.0,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,
2020,1,4,2,1,1,6.0,15.0,16.0,2.0,4.0,17.0,3.0,,,,,,,,,,,,,
2021,4,1,2,5,2,6.0,4.0,18.0,3.0,17.0,3.0,1.0,6.0,10.0,,,,,,,,,,,
2022,1,1,3,1,1,3.0,5.0,3.0,2.0,2.0,8.0,4.0,8.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,5.0,2.0,4.0,,
2023,34,1,27,5,2,2.0,2.0,5.0,12.0,5.0,5.0,14.0,1.0,4.0,,,,,,,,,,,
2024,2,4,2,1,2,15.0,6.0,9.0,1.0,8.0,10.0,2.0,25.0,8.0,3.0,,,,,,,,,,
2025,1,8,14,4,2,1.0,4.0,25.0,1.0,9.0,2.0,1.0,1.0,,,,,,,,,,,,
2026,3,1,1,1,5,7.0,29.0,26.0,21.0,1.0,4.0,3.0,,,,,,,,,,,,,
2027,1,3,2,1,2,1.0,7.0,2.0,1.0,1.0,3.0,12.0,6.0,1.0,3.0,9.0,1.0,2.0,1.0,6.0,4.0,9.0,1.0,,
2028,1,4,2,4,4,71.0,1.0,1.0,5.0,1.0,,,,,,,,,,,,,,,
2029,1,1,2,2,3,1.0,2.0,1.0,1.0,6.0,9.0,1.0,2.0,2.0,14.0,9.0,1.0,10.0,1.0,1.0,2.0,,,,
2030,13,1,1,6,10,10.0,1.0,2.0,3.0,8.0,10.0,8.0,2.0,1.0,1.0,,,,,,,,,,
2031,2,6,1,2,1,2.0,12.0,20.0,5.0,6.0,3.0,13.0,6.0,1.0,1.0,4.0,2.0,,,,,,,,
2032,1,1,6,4,9,7.0,1.0,2.0,8.0,10.0,1.0,24.0,3.0,8.0,1.0,,,,,,,,,,
2033,4,1,7,5,3,2.0,2.0,5.0,1.0,14.0,1.0,3.0,7.0,15.0,9.0,20.0,12.0,1.0,1.0,5.0,7.0,,,,
2034,1,1,5,12,13,2.0,3.0,4.0,5.0,1.0,1.0,6.0,12.0,7.0,1.0,1.0,1.0,3.0,2.0,6.0,1.0,,,,
2035,1,2,1,1,1,1.0,11.0,12.0,1.0,5.0,5.0,4.0,9.0,4.0,1.0,2.0,3.0,5.0,,,,,,,
2036,2,1,7,3,3,3.0,2.0,2.0,7.0,11.0,8.0,9.0,2.0,5.0,4.0,3.0,6.0,1.0,5.0,1.0,1.0,,,,
2037,1,2,5,2,38,2.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,5.0,2.0,1.0,1.0,2.0,,,,,
2038,2,3,3,1,1,42.0,1.0,29.0,2.0,4.0,7.0,5.0,2.0,1.0,,,,,,,,,,,
2039,5,1,8,13,31,6.0,9.0,1.0,1.0,2.0,7.0,2.0,,,,,,,,,,,,,
2040,4,2,1,2,4,2.0,58.0,4.0,3.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,
2041,1,2,1,1,1,4.0,6.0,1.0,1.0,2.0,1.0,4.0,3.0,6.0,5.0,1.0,9.0,6.0,1.0,1.0,1.0,3.0,1.0,1.0,
2042,1,1,2,1,2,1.0,4.0,1.0,1.0,2.0,1.0,6.0,26.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0
2043,5,3,3,5,4,1.0,5.0,10.0,5.0,9.0,1.0,1.0,2.0,8.0,1.0,2.0,1.0,1.0,2.0,2.0,6.0,,,,
2044,1,5,1,2,2,5.0,1.0,1.0,1.0,2.0,11.0,2.0,3.0,3.0,17.0,27.0,11.0,4.0,1.0,1.0,5.0,,,,
2045,1,2,4,3,3,2.0,1.0,1.0,22.0,1.0,13.0,3.0,2.0,4.0,1.0,6.0,3.0,4.0,,,,,,,
2046,6,1,2,4,5,3.0,2.0,6.0,12.0,1.0,5.0,1.0,2.0,8.0,28.0,1.0,2.0,1.0,1.0,1.0,,,,,
2047,1,11,2,1,1,1.0,1.0,1.0,4.0,12.0,3.0,1.0,37.0,1.0,1.0,8.0,7.0,1.0,,,,,,,
2048,4,2,16,2,8,9.0,1.0,4.0,2.0,4.0,1.0,4.0,18.0,1.0,9.0,4.0,7.0,1.0,7.0,4.0,1.0,1.0,1.0,1.0,
2049,3,4,4,1,13,7.0,2.0,2.0,2.0,1.0,7.0,1.0,15.0,1.0,3.0,16.0,4.0,2.0,1.0,17.0,1.0,1.0,,,
2050,2,1,1,1,2,1.0,26.0,2.0,11.0,2.0,1.0,3.0,5.0,15.0,1.0,1.0,1.0,1.0,3.0,,,,,,
2051,1,1,1,1,3,1.0,1.0,5.0,6.0,25.0,32.0,13.0,6.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,
2052,2,1,2,4,1,2.0,2.0,6.0,1.0,5.0,4.0,37.0,15.0,7.0,1.0,11.0,3.0,1.0,3.0,1.0,4.0,1.0,,,
2053,8,4,19,1,13,29.0,21.0,3.0,1.0,1.0,,,,,,,,,,,,,,,
2054,1,1,1,3,1,2.0,11.0,2.0,1.0,6.0,9.0,7.0,7.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,,
2055,3,5,1,1,3,2.0,2.0,1.0,4.0,8.0,26.0,2.0,2.0,13.0,2.0,1.0,4.0,1.0,1.0,,,,,,
2056,3,1,1,4,6,1.0,7.0,14.0,2.0,23.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,,,,,,
2057,1,2,3,3,5,13.0,13.0,1.0,2.0,4.0,16.0,2.0,11.0,5.0,3.0,3.0,3.0,1.0,,,,,,,
2058,2,4,4,3,1,2.0,1.0,1.0,1.0,12.0,3.0,3.0,2.0,2.0,1.0,16.0,4.0,2.0,1.0,15.0,1.0,,,,
2059,1,3,1,3,2,4.0,2.0,8.0,3.0,10.0,5.0,11.0,28.0,,,,,,,,,,,,
2060,1,1,5,1,2,25.0,1.0,2.0,5.0,1.0,4.0,2.0,7.0,15.0,3.0,12.0,2.0,2.0,9.0,2.0,,,,,
2061,1,3,5,20,22,17.0,15.0,1.0,2.0,2.0,2.0,5.0,,,,,,,,,,,,,
2062,1,4,2,2,11,5.0,1.0,71.0,1.0,6.0,7.0,,,,,,,,,,,,,,
2063,2,1,2,8,2,2.0,1.0,31.0,30.0,16.0,1.0,2.0,3.0,,,,,,,,,,,,
2064,1,5,1,5,1,3.0,18.0,25.0,14.0,1.0,8.0,4.0,,,,,,,,,,,,,
2065,1,3,6,2,6,2.0,8.0,9.0,3.0,25.0,1.0,1.0,1.0,2.0,6.0,10.0,1.0,2.0,10.0,1.0,7.0,,,,
2066,1,1,1,1,2,4.0,1.0,1.0,2.0,1.0,14.0,10.0,11.0,7.0,6.0,11.0,4.0,8.0,1.0,1.0,,,,,
2067,2,5,3,1,1,8.0,11.0,15.0,13.0,5.0,1.0,3.0,11.0,14.0,8.0,1.0,2.0,5.0,1.0,,,,,,
2068,3,1,2,4,2,1.0,25.0,7.0,14.0,5.0,4.0,16.0,1.0,1.0,4.0,1.0,1.0,1.0,,,,,,,
2069,4,4,1,1,3,3.0,1.0,3.0,4.0,2.0,1.0,2.0,7.0,13.0,2.0,6.0,2.0,6.0,2.0,4.0,1.0,3.0,2.0,1.0,
2070,1,1,1,1,6,4.0,2.0,4.0,16.0,1.0,6.0,4.0,30.0,33.0,1.0,1.0,1.0,6.0,1.0,2.0,,,,,
2071,1,1,1,1,4,2.0,9.0,1.0,3.0,33.0,6.0,1.0,19.0,8.0,1.0,1.0,,,,,,,,,
2072,2,5,9,5,8,2.0,2.0,2.0,8.0,24.0,4.0,,,,,,,,,,,,,,
2073,1,1,4,1,1,3.0,8.0,51.0,3.0,1.0,1.0,6.0,,,,,,,,,,,,,
2074,1,1,2,3,8,4.0,33.0,9.0,4.0,7.0,3.0,4.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,,,,,,
2075,1,2,1,5,17,8.0,3.0,3.0,10.0,11.0,15.0,13.0,6.0,4.0,1.0,1.0,3.0,3.0,2.0,3.0,,,,,
2076,4,1,1,15,1,13.0,10.0,1.0,3.0,9.0,10.0,18.0,2.0,3.0,1.0,6.0,,,,,,,,,
2077,1,3,4,5,6,6.0,5.0,1.0,6.0,1.0,11.0,1.0,1.0,2.0,3.0,11.0,1.0,2.0,,,,,,,
2078,3,1,62,15,4,2.0,15.0,,,,,,,,,,,,,,,,,,
2079,14,10,2,8,3,15.0,3.0,24.0,1.0,3.0,6.0,12.0,12.0,,,,,,,,,,,,
2080,1,8,5,1,5,10.0,5.0,5.0,3.0,20.0,9.0,12.0,2.0,9.0,1.0,1.0,1.0,,,,,,,,
2081,1,1,1,3,4,2.0,12.0,8.0,14.0,1.0,7.0,1.0,28.0,1.0,3.0,3.0,10.0,2.0,,,,,,,
2082,2,2,8,2,2,2.0,2.0,3.0,46.0,1.0,3.0,2.0,14.0,2.0,,,,,,,,,,,
2083,3,1,2,10,1,1.0,1.0,10.0,2.0,44.0,1.0,3.0,3.0,1.0,1.0,4.0,,,,,,,,,
2084,1,2,3,1,3,7.0,2.0,12.0,2.0,7.0,9.0,4.0,5.0,4.0,8.0,6.0,2.0,2.0,4.0,3.0,,,,,
2085,1,12,87,10,1,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,
2086,1,1,3,5,3,1.0,21.0,16.0,1.0,5.0,2.0,5.0,3.0,2.0,5.0,2.0,3.0,1.0,,,,,,,
2087,4,1,1,1,4,4.0,41.0,1.0,6.0,6.0,5.0,2.0,7.0,1.0,1.0,,,,,,,,,,
2088,1,3,8,8,4,8.0,1.0,1.0,1.0,1.0,2.0,19.0,5.0,1.0,13.0,9.0,3.0,2.0,2.0,3.0,14.0,,,,
2089,2,3,1,1,3,7.0,6.0,17.0,3.0,1.0,2.0,4.0,,,,,,,,,,,,,
2090,1,4,1,1,1,12.0,27.0,26.0,2.0,2.0,9.0,1.0,3.0,,,,,,,,,,,,
2091,1,15,2,2,4,23.0,13.0,8.0,2.0,1.0,2.0,2.0,5.0,1.0,1.0,3.0,,,,,,,,,
2092,1,5,8,22,1,10.0,3.0,1.0,5.0,15.0,27.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,,,,,,,
2093,4,1,3,2,1,1.0,12.0,1.0,15.0,1.0,1.0,10.0,2.0,2.0,6.0,1.0,9.0,4.0,1.0,,,,,,
2094,9,1,1,2,1,2.0,5.0,5.0,19.0,1.0,8.0,2.0,5.0,7.0,9.0,5.0,2.0,2.0,3.0,1.0,4.0,3.0,3.0,,
2095,4,5,1,2,4,4.0,11.0,12.0,37.0,3.0,1.0,4.0,1.0,8.0,1.0,6.0,1.0,,,,,,,,
2096,1,19,3,11,1,11.0,20.0,15.0,1.0,3.0,2.0,7.0,1.0,1.0,1.0,,,,,,,,,,
2097,1,17,1,11,3,1.0,8.0,8.0,2.0,1.0,3.0,2.0,3.0,4.0,25.0,4.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,,
2098,2,2,2,7,16,9.0,25.0,1.0,7.0,10.0,2.0,6.0,2.0,,,,,,,,,,,,
