Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1981,2,2,2,1,2,2,3,1,4.0,3.0,4.0,6.0,4.0,1.0,6.0,10.0,6.0,2.0,6.0,,,,,
1982,1,1,6,6,8,33,4,3,17.0,1.0,4.0,1.0,1.0,4.0,1.0,,,,,,,,,
1983,5,3,2,1,6,26,1,2,1.0,2.0,3.0,1.0,5.0,5.0,,,,,,,,,,
1984,1,1,1,2,2,3,7,17,2.0,9.0,8.0,2.0,6.0,1.0,1.0,2.0,5.0,3.0,1.0,1.0,1.0,,,
1985,2,2,1,5,1,21,1,5,2.0,2.0,1.0,1.0,12.0,5.0,2.0,,,,,,,,,
1986,1,30,23,6,20,1,3,3,1.0,1.0,1.0,,,,,,,,,,,,,
1987,3,5,3,2,2,6,32,1,2.0,5.0,5.0,14.0,1.0,,,,,,,,,,,
1988,4,2,2,1,1,8,1,10,4.0,1.0,2.0,6.0,24.0,19.0,4.0,,,,,,,,,
1989,1,2,10,7,2,2,1,7,1.0,1.0,11.0,1.0,2.0,7.0,2.0,,,,,,,,,
1990,7,1,7,7,1,33,33,11,5.0,1.0,,,,,,,,,,,,,,
1991,1,7,5,1,2,25,1,10,2.0,2.0,1.0,3.0,,,,,,,,,,,,
1992,6,2,12,3,3,13,32,4,2.0,6.0,,,,,,,,,,,,,,
1993,6,2,15,43,10,1,11,3,6.0,1.0,1.0,,,,,,,,,,,,,
1994,1,1,6,1,4,20,3,7,24.0,1.0,2.0,3.0,,,,,,,,,,,,
1995,1,4,4,1,6,1,4,1,2.0,19.0,1.0,6.0,1.0,13.0,9.0,6.0,3.0,2.0,1.0,1.0,1.0,,,
1996,3,3,4,1,1,24,3,1,7.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,6.0,,,,
1997,3,3,2,7,18,7,31,7,2.0,,,,,,,,,,,,,,,
1998,2,8,1,29,4,1,14,10,4.0,2.0,1.0,,,,,,,,,,,,,
1999,9,1,1,3,26,2,4,11,4.0,7.0,2.0,1.0,2.0,,,,,,,,,,,
2000,1,1,2,10,3,6,1,10,14.0,6.0,5.0,8.0,2.0,3.0,2.0,1.0,1.0,12.0,,,,,,
2001,2,3,2,1,7,5,14,1,2.0,2.0,7.0,1.0,9.0,5.0,1.0,2.0,1.0,6.0,4.0,3.0,8.0,3.0,,
2002,2,3,5,69,5,1,2,5,2.0,,,,,,,,,,,,,,,
2003,7,4,2,4,3,3,2,5,39.0,2.0,2.0,2.0,1.0,7.0,2.0,,,,,,,,,
2004,3,3,3,18,2,1,4,8,5.0,3.0,5.0,1.0,1.0,2.0,,,,,,,,,,
2005,2,4,16,18,23,6,4,4,1.0,1.0,1.0,6.0,,,,,,,,,,,,
2006,1,1,1,5,10,3,35,3,3.0,15.0,1.0,9.0,10.0,8.0,2.0,,,,,,,,,
2007,1,2,1,3,8,3,1,13,2.0,3.0,2.0,5.0,8.0,7.0,1.0,2.0,1.0,1.0,2.0,6.0,,,,
2008,1,2,2,4,1,2,2,1,3.0,5.0,1.0,4.0,5.0,1.0,8.0,7.0,,,,,,,,
2009,1,1,1,4,4,1,1,11,1.0,8.0,14.0,1.0,2.0,2.0,5.0,4.0,14.0,1.0,2.0,1.0,,,,
2010,1,1,4,1,3,2,21,5,25.0,12.0,1.0,1.0,2.0,13.0,2.0,3.0,1.0,1.0,4.0,,,,,
2011,2,2,5,2,5,20,2,19,2.0,2.0,6.0,2.0,2.0,4.0,1.0,,,,,,,,,
2012,1,2,9,2,9,21,2,5,6.0,3.0,4.0,1.0,4.0,1.0,,,,,,,,,,
2013,7,1,2,5,6,2,5,9,1.0,2.0,40.0,1.0,1.0,,,,,,,,,,,
2014,1,13,1,6,4,19,47,2,10.0,10.0,1.0,1.0,,,,,,,,,,,,
2015,1,1,2,1,3,1,12,4,2.0,4.0,7.0,1.0,2.0,7.0,5.0,10.0,1.0,,,,,,,
2016,2,3,1,3,3,2,10,1,5.0,2.0,1.0,2.0,12.0,5.0,2.0,13.0,3.0,6.0,1.0,1.0,1.0,7.0,2.0,1.0
2017,3,9,17,7,22,4,17,5,6.0,2.0,2.0,1.0,3.0,,,,,,,,,,,
2018,3,5,4,5,1,2,2,2,9.0,10.0,1.0,6.0,17.0,4.0,1.0,3.0,11.0,6.0,,,,,,
2019,13,7,15,17,1,12,2,2,4.0,10.0,1.0,1.0,,,,,,,,,,,,
2020,1,1,1,3,6,3,17,20,1.0,28.0,2.0,2.0,3.0,15.0,1.0,,,,,,,,,
2021,2,8,1,8,1,17,2,11,2.0,8.0,3.0,1.0,1.0,1.0,2.0,5.0,5.0,,,,,,,
2022,1,1,1,12,1,1,26,5,2.0,1.0,2.0,14.0,8.0,6.0,8.0,1.0,3.0,,,,,,,
2023,2,4,3,2,3,1,2,1,1.0,2.0,11.0,15.0,8.0,25.0,1.0,2.0,2.0,8.0,1.0,2.0,1.0,,,
2024,2,4,2,1,2,15,6,9,1.0,8.0,10.0,2.0,25.0,8.0,3.0,,,,,,,,,
2025,14,27,2,6,1,15,7,6,3.0,4.0,2.0,3.0,6.0,3.0,2.0,1.0,1.0,1.0,,,,,,
2026,1,12,1,12,5,2,2,4,2.0,1.0,14.0,2.0,34.0,8.0,4.0,3.0,,,,,,,,
2027,2,14,12,16,31,3,2,1,7.0,9.0,3.0,,,,,,,,,,,,,
2028,1,1,6,4,1,11,1,18,36.0,2.0,3.0,14.0,4.0,,,,,,,,,,,
2029,12,2,1,5,1,1,12,40,1.0,2.0,7.0,2.0,,,,,,,,,,,,
2030,7,2,19,1,17,7,1,2,13.0,2.0,8.0,17.0,5.0,2.0,,,,,,,,,,
2031,1,6,4,27,5,4,16,4,19.0,1.0,,,,,,,,,,,,,,
2032,3,2,1,1,1,1,4,5,4.0,9.0,1.0,2.0,9.0,5.0,31.0,2.0,2.0,1.0,1.0,1.0,,,,
2033,3,1,2,13,7,2,91,5,3.0,3.0,,,,,,,,,,,,,,
2034,1,2,1,1,16,3,6,12,15.0,8.0,13.0,2.0,1.0,3.0,1.0,6.0,2.0,3.0,5.0,,,,,
2035,1,3,7,20,2,6,5,48,1.0,,,,,,,,,,,,,,,
2036,1,3,1,1,3,12,23,3,18.0,2.0,1.0,,,,,,,,,,,,,
2037,5,1,6,1,4,1,4,6,6.0,12.0,30.0,6.0,3.0,16.0,4.0,1.0,1.0,,,,,,,
2038,5,2,3,1,1,1,1,2,37.0,9.0,13.0,2.0,5.0,1.0,8.0,21.0,1.0,,,,,,,
2039,1,8,1,2,1,11,1,62,5.0,8.0,1.0,1.0,,,,,,,,,,,,
2040,4,2,2,1,3,6,14,6,6.0,21.0,30.0,3.0,9.0,12.0,1.0,,,,,,,,,
2041,2,4,1,1,7,1,2,9,27.0,28.0,1.0,13.0,1.0,,,,,,,,,,,
2042,8,2,1,3,24,4,1,1,14.0,30.0,4.0,1.0,5.0,5.0,,,,,,,,,,
2043,2,1,1,3,22,8,2,17,3.0,1.0,23.0,11.0,1.0,2.0,4.0,1.0,,,,,,,,
2044,2,9,15,5,2,1,16,18,5.0,9.0,3.0,8.0,3.0,,,,,,,,,,,
2045,1,2,3,1,6,2,2,22,13.0,19.0,30.0,7.0,2.0,1.0,,,,,,,,,,
2046,1,2,2,4,11,15,5,15,11.0,5.0,24.0,1.0,9.0,1.0,,,,,,,,,,
2047,1,1,2,1,1,23,4,1,4.0,1.0,19.0,13.0,2.0,1.0,12.0,,,,,,,,,
2048,5,2,1,11,48,1,1,1,5.0,1.0,14.0,7.0,3.0,8.0,,,,,,,,,,
2049,1,3,1,1,6,15,17,6,46.0,21.0,2.0,,,,,,,,,,,,,
2050,8,2,11,3,1,42,2,25,5.0,,,,,,,,,,,,,,,
2051,1,5,2,1,1,3,4,4,4.0,3.0,1.0,1.0,17.0,8.0,20.0,3.0,10.0,15.0,,,,,,
2052,5,56,1,23,2,2,6,1,,,,,,,,,,,,,,,,
2053,1,2,1,2,1,3,14,3,1.0,2.0,1.0,1.0,2.0,14.0,5.0,10.0,1.0,7.0,3.0,3.0,5.0,2.0,7.0,4.0
2054,1,3,2,1,1,1,1,7,2.0,2.0,1.0,2.0,2.0,12.0,1.0,5.0,12.0,4.0,2.0,5.0,14.0,5.0,,
2055,3,5,2,1,3,2,2,1,4.0,8.0,8.0,17.0,2.0,2.0,13.0,2.0,1.0,4.0,1.0,1.0,,,,
2056,1,7,2,1,2,3,6,2,20.0,5.0,17.0,7.0,7.0,10.0,3.0,1.0,1.0,,,,,,,
2057,1,1,1,3,19,2,10,4,5.0,7.0,4.0,69.0,11.0,3.0,2.0,1.0,1.0,,,,,,,
2058,2,1,5,11,5,3,2,1,17.0,4.0,24.0,2.0,1.0,1.0,,,,,,,,,,
2059,1,3,1,3,2,4,2,8,3.0,10.0,5.0,11.0,28.0,,,,,,,,,,,
2060,1,1,14,3,6,10,2,5,33.0,10.0,2.0,5.0,,,,,,,,,,,,
2061,1,5,2,1,3,7,2,5,21.0,18.0,7.0,2.0,5.0,7.0,1.0,,,,,,,,,
2062,1,4,3,6,7,1,22,18,23.0,4.0,7.0,,,,,,,,,,,,,
2063,1,1,3,1,6,9,25,1,8.0,13.0,7.0,4.0,1.0,5.0,1.0,,,,,,,,,
2064,1,4,22,4,1,20,8,1,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,
2065,1,1,3,8,1,1,4,3,3.0,8.0,11.0,31.0,2.0,2.0,38.0,2.0,6.0,4.0,,,,,,
2066,2,4,8,1,1,15,9,26,10.0,3.0,11.0,1.0,1.0,1.0,,,,,,,,,,
2067,3,8,3,30,10,16,17,7,4.0,4.0,1.0,,,,,,,,,,,,,
2068,1,2,4,1,1,6,1,2,30.0,3.0,3.0,1.0,6.0,1.0,7.0,7.0,1.0,2.0,2.0,4.0,1.0,,,
2069,2,3,4,5,10,3,7,2,2.0,7.0,1.0,3.0,5.0,6.0,3.0,6.0,2.0,2.0,1.0,,,,,
2070,3,5,9,13,4,4,1,8,7.0,2.0,6.0,1.0,4.0,1.0,3.0,2.0,1.0,,,,,,,
2071,1,6,3,1,1,6,10,4,28.0,6.0,3.0,8.0,2.0,2.0,4.0,2.0,,,,,,,,
2072,2,5,10,5,8,2,1,2,9.0,24.0,4.0,,,,,,,,,,,,,
2073,2,2,4,1,1,11,4,18,5.0,11.0,3.0,5.0,6.0,5.0,17.0,9.0,1.0,,,,,,,
2074,4,1,1,2,4,8,11,46,3.0,17.0,14.0,3.0,2.0,,,,,,,,,,,
2075,1,1,1,13,5,12,8,8,1.0,3.0,4.0,1.0,8.0,2.0,3.0,5.0,2.0,,,,,,,
2076,3,1,1,2,1,1,21,2,3.0,1.0,2.0,3.0,12.0,5.0,2.0,2.0,1.0,3.0,12.0,13.0,4.0,2.0,2.0,3.0
2077,1,2,4,2,52,17,4,7,3.0,1.0,1.0,3.0,1.0,3.0,,,,,,,,,,
2078,1,6,3,1,1,1,1,3,1.0,3.0,2.0,1.0,16.0,30.0,28.0,11.0,,,,,,,,
2079,14,10,2,8,3,15,3,24,1.0,3.0,6.0,13.0,12.0,,,,,,,,,,,
2080,1,10,4,4,2,1,5,5,4.0,18.0,7.0,3.0,18.0,2.0,7.0,21.0,2.0,1.0,3.0,1.0,1.0,,,
2081,2,9,1,9,9,6,22,9,4.0,1.0,2.0,7.0,2.0,30.0,1.0,8.0,,,,,,,,
2082,1,1,5,15,7,23,5,27,6.0,10.0,4.0,6.0,,,,,,,,,,,,
2083,3,3,1,4,1,1,8,17,15.0,9.0,11.0,1.0,17.0,2.0,5.0,6.0,,,,,,,,
2084,1,1,7,3,6,7,6,12,17.0,22.0,5.0,5.0,1.0,7.0,1.0,1.0,2.0,,,,,,,
2085,3,2,6,46,5,2,1,9,4.0,4.0,5.0,5.0,1.0,,,,,,,,,,,
2086,4,1,1,10,6,1,22,10,1.0,13.0,3.0,3.0,11.0,1.0,1.0,4.0,1.0,,,,,,,
2087,1,1,1,2,1,1,1,5,3.0,2.0,4.0,2.0,1.0,2.0,7.0,13.0,2.0,16.0,4.0,4.0,1.0,2.0,1.0,1.0
2088,8,1,1,2,8,1,2,23,3.0,2.0,3.0,2.0,19.0,4.0,18.0,1.0,1.0,1.0,,,,,,
2089,1,1,2,3,1,1,1,1,4.0,2.0,1.0,1.0,3.0,5.0,1.0,16.0,1.0,1.0,1.0,13.0,,,,
2090,2,4,1,1,2,1,4,8,1.0,3.0,11.0,8.0,3.0,3.0,1.0,,,,,,,,,
2091,2,3,13,3,2,1,2,7,18.0,1.0,1.0,2.0,6.0,6.0,4.0,1.0,,,,,,,,
2092,1,4,1,3,26,45,7,3,,,,,,,,,,,,,,,,
2093,1,2,2,5,1,3,4,4,48.0,1.0,1.0,1.0,2.0,6.0,,,,,,,,,,
2094,1,7,4,3,1,2,1,22,5.0,2.0,,,,,,,,,,,,,,
2095,8,5,6,1,5,1,17,2,1.0,21.0,22.0,1.0,2.0,2.0,1.0,,,,,,,,,
2096,1,5,1,10,4,5,1,6,7.0,3.0,9.0,10.0,4.0,4.0,1.0,2.0,1.0,,,,,,,
2097,1,1,1,1,2,20,44,5,13.0,6.0,,,,,,,,,,,,,,
2098,1,4,1,1,8,1,2,1,17.0,2.0,8.0,3.0,6.0,3.0,35.0,6.0,6.0,1.0,6.0,1.0,,,,
